"INDIC_IS","GEO","TIME","IND_TYPE","UNIT","Value","Flag and Footnotes"
"Individuals who have low overall digital skills","Denmark","2015","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Denmark","2019","All Individuals","Percentage of individuals","27",""
"Individuals who have low overall digital skills","Denmark","2019","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Denmark","2019","Females, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Germany (until 1990 former territory of the FRG)","2015","All Individuals","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Germany (until 1990 former territory of the FRG)","2015","Males, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Germany (until 1990 former territory of the FRG)","2015","Females, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Germany (until 1990 former territory of the FRG)","2019","All Individuals","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Germany (until 1990 former territory of the FRG)","2019","Males, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Germany (until 1990 former territory of the FRG)","2019","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Estonia","2015","All Individuals","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Estonia","2015","Males, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Estonia","2015","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Estonia","2019","All Individuals","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Estonia","2019","Males, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have low overall digital skills","Estonia","2019","Females, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Ireland","2015","All Individuals","Percentage of individuals","35",""
"Individuals who have low overall digital skills","Ireland","2015","Males, 16 to 74 years old","Percentage of individuals","33",""
"Individuals who have low overall digital skills","Ireland","2015","Females, 16 to 74 years old","Percentage of individuals","37",""
"Individuals who have low overall digital skills","Ireland","2019","All Individuals","Percentage of individuals","36",""
"Individuals who have low overall digital skills","Ireland","2019","Males, 16 to 74 years old","Percentage of individuals","33",""
"Individuals who have low overall digital skills","Ireland","2019","Females, 16 to 74 years old","Percentage of individuals","38",""
"Individuals who have low overall digital skills","Greece","2015","All Individuals","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Greece","2015","Males, 16 to 74 years old","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Greece","2015","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Greece","2019","All Individuals","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Greece","2019","Males, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have low overall digital skills","Greece","2019","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Spain","2015","All Individuals","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Spain","2015","Males, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Spain","2015","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Spain","2019","All Individuals","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Spain","2019","Males, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have low overall digital skills","Spain","2019","Females, 16 to 74 years old","Percentage of individuals","33",""
"Individuals who have low overall digital skills","France","2015","All Individuals","Percentage of individuals","28",""
"Individuals who have low overall digital skills","France","2015","Males, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","France","2015","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","France","2019","All Individuals","Percentage of individuals","32",""
"Individuals who have low overall digital skills","France","2019","Males, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have low overall digital skills","France","2019","Females, 16 to 74 years old","Percentage of individuals","33",""
"Individuals who have low overall digital skills","Croatia","2015","All Individuals","Percentage of individuals","18",""
"Individuals who have low overall digital skills","Croatia","2015","Males, 16 to 74 years old","Percentage of individuals","17",""
"Individuals who have low overall digital skills","Croatia","2015","Females, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Croatia","2019","All Individuals","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Croatia","2019","Males, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have low overall digital skills","Croatia","2019","Females, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Italy","2015","All Individuals","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Italy","2015","Males, 16 to 74 years old","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Italy","2015","Females, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Italy","2019","All Individuals","Percentage of individuals","32","b"
"Individuals who have low overall digital skills","Italy","2019","Males, 16 to 74 years old","Percentage of individuals","31","b"
"Individuals who have low overall digital skills","Italy","2019","Females, 16 to 74 years old","Percentage of individuals","32","b"
"Individuals who have low overall digital skills","Cyprus","2015","All Individuals","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Cyprus","2015","Males, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have low overall digital skills","Cyprus","2015","Females, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have low overall digital skills","Cyprus","2019","All Individuals","Percentage of individuals","41",""
"Individuals who have low overall digital skills","Cyprus","2019","Males, 16 to 74 years old","Percentage of individuals","43",""
"Individuals who have low overall digital skills","Cyprus","2019","Females, 16 to 74 years old","Percentage of individuals","38",""
"Individuals who have low overall digital skills","Latvia","2015","All Individuals","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Latvia","2015","Males, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Latvia","2015","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Latvia","2019","All Individuals","Percentage of individuals","42","b"
"Individuals who have low overall digital skills","Latvia","2019","Males, 16 to 74 years old","Percentage of individuals","46","b"
"Individuals who have low overall digital skills","Latvia","2019","Females, 16 to 74 years old","Percentage of individuals","39","b"
"Individuals who have low overall digital skills","Lithuania","2015","All Individuals","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Lithuania","2015","Males, 16 to 74 years old","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Lithuania","2015","Females, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Lithuania","2019","All Individuals","Percentage of individuals","25",""
"Individuals who have low overall digital skills","Lithuania","2019","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Lithuania","2019","Females, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Luxembourg","2015","All Individuals","Percentage of individuals","11",""
"Individuals who have low overall digital skills","Luxembourg","2015","Males, 16 to 74 years old","Percentage of individuals","9",""
"Individuals who have low overall digital skills","Luxembourg","2015","Females, 16 to 74 years old","Percentage of individuals","13",""
"Individuals who have low overall digital skills","Luxembourg","2019","All Individuals","Percentage of individuals","30","b"
"Individuals who have low overall digital skills","Luxembourg","2019","Males, 16 to 74 years old","Percentage of individuals","28","b"
"Individuals who have low overall digital skills","Luxembourg","2019","Females, 16 to 74 years old","Percentage of individuals","32","b"
"Individuals who have low overall digital skills","Hungary","2015","All Individuals","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Hungary","2015","Males, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Hungary","2015","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Hungary","2019","All Individuals","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Hungary","2019","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Hungary","2019","Females, 16 to 74 years old","Percentage of individuals","33",""
"Individuals who have low overall digital skills","Malta","2015","All Individuals","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Malta","2015","Males, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Malta","2015","Females, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have low overall digital skills","Malta","2019","All Individuals","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Malta","2019","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Malta","2019","Females, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have low overall digital skills","Netherlands","2015","All Individuals","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Netherlands","2015","Males, 16 to 74 years old","Percentage of individuals","17",""
"Individuals who have low overall digital skills","Netherlands","2015","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Netherlands","2019","All Individuals","Percentage of individuals","16",""
"Individuals who have low overall digital skills","Netherlands","2019","Males, 16 to 74 years old","Percentage of individuals","14",""
"Individuals who have low overall digital skills","Netherlands","2019","Females, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Austria","2015","All Individuals","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Austria","2015","Males, 16 to 74 years old","Percentage of individuals","16",""
"Individuals who have low overall digital skills","Austria","2015","Females, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Austria","2019","All Individuals","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Austria","2019","Males, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Austria","2019","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Poland","2015","All Individuals","Percentage of individuals","27",""
"Individuals who have low overall digital skills","Poland","2015","Males, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Poland","2015","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Poland","2019","All Individuals","Percentage of individuals","35",""
"Individuals who have low overall digital skills","Poland","2019","Males, 16 to 74 years old","Percentage of individuals","34",""
"Individuals who have low overall digital skills","Poland","2019","Females, 16 to 74 years old","Percentage of individuals","36",""
"Individuals who have low overall digital skills","Portugal","2015","All Individuals","Percentage of individuals","20",""
"Individuals who have low overall digital skills","Portugal","2015","Males, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Portugal","2015","Females, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Portugal","2019","All Individuals","Percentage of individuals","22",""
"Individuals who have low overall digital skills","Portugal","2019","Males, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Portugal","2019","Females, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Romania","2015","All Individuals","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Romania","2015","Males, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Romania","2015","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Romania","2019","All Individuals","Percentage of individuals","43",""
"Individuals who have low overall digital skills","Romania","2019","Males, 16 to 74 years old","Percentage of individuals","42",""
"Individuals who have low overall digital skills","Romania","2019","Females, 16 to 74 years old","Percentage of individuals","43",""
"Individuals who have low overall digital skills","Slovenia","2015","All Individuals","Percentage of individuals","21",""
"Individuals who have low overall digital skills","Slovenia","2015","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Slovenia","2015","Females, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Slovenia","2019","All Individuals","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Slovenia","2019","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Slovenia","2019","Females, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have low overall digital skills","Slovakia","2015","All Individuals","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Slovakia","2015","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","Slovakia","2015","Females, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have low overall digital skills","Slovakia","2019","All Individuals","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Slovakia","2019","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have low overall digital skills","Slovakia","2019","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have low overall digital skills","Finland","2015","All Individuals","Percentage of individuals","18",""
"Individuals who have low overall digital skills","Finland","2015","Males, 16 to 74 years old","Percentage of individuals","17",""
"Individuals who have low overall digital skills","Finland","2015","Females, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have low overall digital skills","Finland","2019","All Individuals","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Finland","2019","Males, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Finland","2019","Females, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have low overall digital skills","Sweden","2015","All Individuals","Percentage of individuals","17",""
"Individuals who have low overall digital skills","Sweden","2015","Males, 16 to 74 years old","Percentage of individuals","16",""
"Individuals who have low overall digital skills","Sweden","2015","Females, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have low overall digital skills","Sweden","2019","All Individuals","Percentage of individuals","24","u"
"Individuals who have low overall digital skills","Sweden","2019","Males, 16 to 74 years old","Percentage of individuals","22","u"
"Individuals who have low overall digital skills","Sweden","2019","Females, 16 to 74 years old","Percentage of individuals","25","u"
"Individuals who have low overall digital skills","United Kingdom","2015","All Individuals","Percentage of individuals","24",""
"Individuals who have low overall digital skills","United Kingdom","2015","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have low overall digital skills","United Kingdom","2015","Females, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have low overall digital skills","United Kingdom","2019","All Individuals","Percentage of individuals","20",""
"Individuals who have low overall digital skills","United Kingdom","2019","Males, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have low overall digital skills","United Kingdom","2019","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Iceland","2015","All Individuals","Percentage of individuals",":",""
"Individuals who have low overall digital skills","Iceland","2015","Males, 16 to 74 years old","Percentage of individuals",":",""
"Individuals who have low overall digital skills","Iceland","2015","Females, 16 to 74 years old","Percentage of individuals",":",""
"Individuals who have low overall digital skills","Iceland","2019","All Individuals","Percentage of individuals","13",""
"Individuals who have low overall digital skills","Iceland","2019","Males, 16 to 74 years old","Percentage of individuals","13",""
"Individuals who have low overall digital skills","Iceland","2019","Females, 16 to 74 years old","Percentage of individuals","14",""
"Individuals who have low overall digital skills","Norway","2015","All Individuals","Percentage of individuals","17",""
"Individuals who have low overall digital skills","Norway","2015","Males, 16 to 74 years old","Percentage of individuals","15",""
"Individuals who have low overall digital skills","Norway","2015","Females, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have low overall digital skills","Norway","2019","All Individuals","Percentage of individuals","16",""
"Individuals who have low overall digital skills","Norway","2019","Males, 16 to 74 years old","Percentage of individuals","15",""
"Individuals who have low overall digital skills","Norway","2019","Females, 16 to 74 years old","Percentage of individuals","16",""
"Individuals who have low overall digital skills","North Macedonia","2015","All Individuals","Percentage of individuals","33",""
"Individuals who have low overall digital skills","North Macedonia","2015","Males, 16 to 74 years old","Percentage of individuals","35",""
"Individuals who have low overall digital skills","North Macedonia","2015","Females, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have low overall digital skills","North Macedonia","2019","All Individuals","Percentage of individuals","50",""
"Individuals who have low overall digital skills","North Macedonia","2019","Males, 16 to 74 years old","Percentage of individuals","51",""
"Individuals who have low overall digital skills","North Macedonia","2019","Females, 16 to 74 years old","Percentage of individuals","48",""
"Individuals who have low overall digital skills","Serbia","2015","All Individuals","Percentage of individuals","33",""
"Individuals who have low overall digital skills","Serbia","2015","Males, 16 to 74 years old","Percentage of individuals","35",""
"Individuals who have low overall digital skills","Serbia","2015","Females, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Serbia","2019","All Individuals","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Serbia","2019","Males, 16 to 74 years old","Percentage of individuals","32",""
"Individuals who have low overall digital skills","Serbia","2019","Females, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have low overall digital skills","Turkey","2015","All Individuals","Percentage of individuals","27",""
"Individuals who have low overall digital skills","Turkey","2015","Males, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have low overall digital skills","Turkey","2015","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have low overall digital skills","Turkey","2019","All Individuals","Percentage of individuals","37",""
"Individuals who have low overall digital skills","Turkey","2019","Males, 16 to 74 years old","Percentage of individuals","37",""
"Individuals who have low overall digital skills","Turkey","2019","Females, 16 to 74 years old","Percentage of individuals","37",""
"Individuals who have basic overall digital skills","Belgium","2015","All Individuals","Percentage of individuals","29",""
"Individuals who have basic overall digital skills","Belgium","2015","Males, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have basic overall digital skills","Belgium","2015","Females, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have basic overall digital skills","Belgium","2019","All Individuals","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Belgium","2019","Males, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Belgium","2019","Females, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","Bulgaria","2015","All Individuals","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Bulgaria","2015","Males, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Bulgaria","2015","Females, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have basic overall digital skills","Bulgaria","2019","All Individuals","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Bulgaria","2019","Males, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Bulgaria","2019","Females, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Czechia","2015","All Individuals","Percentage of individuals","34",""
"Individuals who have basic overall digital skills","Czechia","2015","Males, 16 to 74 years old","Percentage of individuals","34",""
"Individuals who have basic overall digital skills","Czechia","2015","Females, 16 to 74 years old","Percentage of individuals","34",""
"Individuals who have basic overall digital skills","Czechia","2019","All Individuals","Percentage of individuals","36","bu"
"Individuals who have basic overall digital skills","Czechia","2019","Males, 16 to 74 years old","Percentage of individuals","35","bu"
"Individuals who have basic overall digital skills","Czechia","2019","Females, 16 to 74 years old","Percentage of individuals","38","bu"
"Individuals who have basic overall digital skills","Denmark","2015","All Individuals","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","Denmark","2015","Males, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Denmark","2015","Females, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","Denmark","2019","All Individuals","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Denmark","2019","Males, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Denmark","2019","Females, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have basic overall digital skills","Germany (until 1990 former territory of the FRG)","2015","All Individuals","Percentage of individuals","31",""
"Individuals who have basic overall digital skills","Germany (until 1990 former territory of the FRG)","2015","Males, 16 to 74 years old","Percentage of individuals","31",""
"Individuals who have basic overall digital skills","Germany (until 1990 former territory of the FRG)","2015","Females, 16 to 74 years old","Percentage of individuals","32",""
"Individuals who have basic overall digital skills","Germany (until 1990 former territory of the FRG)","2019","All Individuals","Percentage of individuals","31",""
"Individuals who have basic overall digital skills","Germany (until 1990 former territory of the FRG)","2019","Males, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have basic overall digital skills","Germany (until 1990 former territory of the FRG)","2019","Females, 16 to 74 years old","Percentage of individuals","32",""
"Individuals who have basic overall digital skills","Estonia","2015","All Individuals","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Estonia","2015","Males, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","Estonia","2015","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have basic overall digital skills","Estonia","2019","All Individuals","Percentage of individuals","25",""
"Individuals who have basic overall digital skills","Estonia","2019","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Estonia","2019","Females, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have basic overall digital skills","Ireland","2015","All Individuals","Percentage of individuals","19",""
"Individuals who have basic overall digital skills","Ireland","2015","Males, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Ireland","2015","Females, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Ireland","2019","All Individuals","Percentage of individuals","19",""
"Individuals who have basic overall digital skills","Ireland","2019","Males, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Ireland","2019","Females, 16 to 74 years old","Percentage of individuals","20",""
"Individuals who have basic overall digital skills","Greece","2015","All Individuals","Percentage of individuals","28",""
"Individuals who have basic overall digital skills","Greece","2015","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have basic overall digital skills","Greece","2015","Females, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Greece","2019","All Individuals","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Greece","2019","Males, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Greece","2019","Females, 16 to 74 years old","Percentage of individuals","28",""
"Individuals who have basic overall digital skills","Spain","2015","All Individuals","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Spain","2015","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Spain","2015","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have basic overall digital skills","Spain","2019","All Individuals","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Spain","2019","Males, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Spain","2019","Females, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","France","2015","All Individuals","Percentage of individuals","30",""
"Individuals who have basic overall digital skills","France","2015","Males, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have basic overall digital skills","France","2015","Females, 16 to 74 years old","Percentage of individuals","30",""
"Individuals who have basic overall digital skills","France","2019","All Individuals","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","France","2019","Males, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","France","2019","Females, 16 to 74 years old","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Croatia","2015","All Individuals","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Croatia","2015","Males, 16 to 74 years old","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Croatia","2015","Females, 16 to 74 years old","Percentage of individuals","20",""
"Individuals who have basic overall digital skills","Croatia","2019","All Individuals","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Croatia","2019","Males, 16 to 74 years old","Percentage of individuals","19",""
"Individuals who have basic overall digital skills","Croatia","2019","Females, 16 to 74 years old","Percentage of individuals","17",""
"Individuals who have basic overall digital skills","Italy","2015","All Individuals","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Italy","2015","Males, 16 to 74 years old","Percentage of individuals","26",""
"Individuals who have basic overall digital skills","Italy","2015","Females, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have basic overall digital skills","Italy","2019","All Individuals","Percentage of individuals","19","b"
"Individuals who have basic overall digital skills","Italy","2019","Males, 16 to 74 years old","Percentage of individuals","20","b"
"Individuals who have basic overall digital skills","Italy","2019","Females, 16 to 74 years old","Percentage of individuals","19","b"
"Individuals who have basic overall digital skills","Cyprus","2015","All Individuals","Percentage of individuals","27",""
"Individuals who have basic overall digital skills","Cyprus","2015","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have basic overall digital skills","Cyprus","2015","Females, 16 to 74 years old","Percentage of individuals","25",""
"Individuals who have basic overall digital skills","Cyprus","2019","All Individuals","Percentage of individuals","20",""
"Individuals who have basic overall digital skills","Cyprus","2019","Males, 16 to 74 years old","Percentage of individuals","18",""
"Individuals who have basic overall digital skills","Cyprus","2019","Females, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have basic overall digital skills","Latvia","2015","All Individuals","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Latvia","2015","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Latvia","2015","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have basic overall digital skills","Latvia","2019","All Individuals","Percentage of individuals","19","b"
"Individuals who have basic overall digital skills","Latvia","2019","Males, 16 to 74 years old","Percentage of individuals","17","b"
"Individuals who have basic overall digital skills","Latvia","2019","Females, 16 to 74 years old","Percentage of individuals","19","b"
"Individuals who have basic overall digital skills","Lithuania","2015","All Individuals","Percentage of individuals","21",""
"Individuals who have basic overall digital skills","Lithuania","2015","Males, 16 to 74 years old","Percentage of individuals","22",""
"Individuals who have basic overall digital skills","Lithuania","2015","Females, 16 to 74 years old","Percentage of individuals","20",""
"Individuals who have basic overall digital skills","Lithuania","2019","All Individuals","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Lithuania","2019","Males, 16 to 74 years old","Percentage of individuals","24",""
"Individuals who have basic overall digital skills","Lithuania","2019","Females, 16 to 74 years old","Percentage of individuals","23",""
"Individuals who have basic overall digital skills","Luxembourg","2015","All Individuals","Percentage of individuals","30",""
"Individuals who have basic overall digital skills","Luxembourg","2015","Males, 16 to 74 years old","Percentage of individuals","29",""
"Individuals who have basic overall digital skills","Luxembourg","2015","Females, 16 to 74 years old","Percentage of individuals","32",""
