"INDIC_IS","GEO","TIME","UNIT","IND_TYPE","Value","Flag and Footnotes"
"Internet use: doing an online course (of any subject)","Estonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Estonia","2010","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Estonia","2015","Percentage of individuals","All Individuals","9",""
"Internet use: doing an online course (of any subject)","Estonia","2019","Percentage of individuals","All Individuals","14",""
"Internet use: doing an online course (of any subject)","Ireland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Ireland","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Ireland","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Ireland","2019","Percentage of individuals","All Individuals","13",""
"Internet use: doing an online course (of any subject)","Greece","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Greece","2010","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Greece","2015","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Greece","2019","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Spain","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Spain","2010","Percentage of individuals","All Individuals","8",""
"Internet use: doing an online course (of any subject)","Spain","2015","Percentage of individuals","All Individuals","11",""
"Internet use: doing an online course (of any subject)","Spain","2019","Percentage of individuals","All Individuals","15",""
"Internet use: doing an online course (of any subject)","France","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","France","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","France","2015","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","France","2019","Percentage of individuals","All Individuals","8",""
"Internet use: doing an online course (of any subject)","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Croatia","2010","Percentage of individuals","All Individuals","1",""
"Internet use: doing an online course (of any subject)","Croatia","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Croatia","2019","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Italy","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Italy","2010","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Italy","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Italy","2019","Percentage of individuals","All Individuals","7",""
"Internet use: doing an online course (of any subject)","Cyprus","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Cyprus","2010","Percentage of individuals","All Individuals","1",""
"Internet use: doing an online course (of any subject)","Cyprus","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Cyprus","2019","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Latvia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Latvia","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Latvia","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Latvia","2019","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Lithuania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Lithuania","2010","Percentage of individuals","All Individuals","8",""
"Internet use: doing an online course (of any subject)","Lithuania","2015","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Lithuania","2019","Percentage of individuals","All Individuals","7",""
"Internet use: doing an online course (of any subject)","Luxembourg","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Luxembourg","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Luxembourg","2015","Percentage of individuals","All Individuals","10",""
"Internet use: doing an online course (of any subject)","Luxembourg","2019","Percentage of individuals","All Individuals","10","b"
"Internet use: doing an online course (of any subject)","Hungary","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Hungary","2010","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Hungary","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Hungary","2019","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Malta","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Malta","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Malta","2015","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Malta","2019","Percentage of individuals","All Individuals","12",""
"Internet use: doing an online course (of any subject)","Netherlands","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Netherlands","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Netherlands","2015","Percentage of individuals","All Individuals","8",""
"Internet use: doing an online course (of any subject)","Netherlands","2019","Percentage of individuals","All Individuals","13",""
"Internet use: doing an online course (of any subject)","Austria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Austria","2010","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Austria","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Austria","2019","Percentage of individuals","All Individuals","8",""
"Internet use: doing an online course (of any subject)","Poland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Poland","2010","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Poland","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Poland","2019","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Portugal","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Portugal","2010","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Portugal","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Portugal","2019","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Romania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Romania","2010","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Romania","2015","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Romania","2019","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Slovenia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Slovenia","2010","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","Slovenia","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Slovenia","2019","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Slovakia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Slovakia","2010","Percentage of individuals","All Individuals","1",""
"Internet use: doing an online course (of any subject)","Slovakia","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Slovakia","2019","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Finland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Finland","2010","Percentage of individuals","All Individuals","14",""
"Internet use: doing an online course (of any subject)","Finland","2015","Percentage of individuals","All Individuals","13",""
"Internet use: doing an online course (of any subject)","Finland","2019","Percentage of individuals","All Individuals","21",""
"Internet use: doing an online course (of any subject)","Sweden","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Sweden","2010","Percentage of individuals","All Individuals","7",""
"Internet use: doing an online course (of any subject)","Sweden","2015","Percentage of individuals","All Individuals","7",""
"Internet use: doing an online course (of any subject)","Sweden","2019","Percentage of individuals","All Individuals","18",""
"Internet use: doing an online course (of any subject)","United Kingdom","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","United Kingdom","2010","Percentage of individuals","All Individuals","7",""
"Internet use: doing an online course (of any subject)","United Kingdom","2015","Percentage of individuals","All Individuals","11",""
"Internet use: doing an online course (of any subject)","United Kingdom","2019","Percentage of individuals","All Individuals","19",""
"Internet use: doing an online course (of any subject)","Iceland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Iceland","2010","Percentage of individuals","All Individuals","9",""
"Internet use: doing an online course (of any subject)","Iceland","2015","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Iceland","2019","Percentage of individuals","All Individuals","20",""
"Internet use: doing an online course (of any subject)","Norway","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Norway","2010","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Norway","2015","Percentage of individuals","All Individuals","10",""
"Internet use: doing an online course (of any subject)","Norway","2019","Percentage of individuals","All Individuals","16",""
"Internet use: doing an online course (of any subject)","North Macedonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","North Macedonia","2010","Percentage of individuals","All Individuals","4",""
"Internet use: doing an online course (of any subject)","North Macedonia","2015","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","North Macedonia","2019","Percentage of individuals","All Individuals","6",""
"Internet use: doing an online course (of any subject)","Serbia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Serbia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Serbia","2015","Percentage of individuals","All Individuals","3",""
"Internet use: doing an online course (of any subject)","Serbia","2019","Percentage of individuals","All Individuals","5",""
"Internet use: doing an online course (of any subject)","Turkey","2006","Percentage of individuals","All Individuals",":",""
"Internet use: doing an online course (of any subject)","Turkey","2010","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Turkey","2015","Percentage of individuals","All Individuals","2",""
"Internet use: doing an online course (of any subject)","Turkey","2019","Percentage of individuals","All Individuals","2",""
"Internet use: sending/receiving e-mails","Belgium","2006","Percentage of individuals","All Individuals","54",""
"Internet use: sending/receiving e-mails","Belgium","2010","Percentage of individuals","All Individuals","72",""
"Internet use: sending/receiving e-mails","Belgium","2015","Percentage of individuals","All Individuals","78",""
"Internet use: sending/receiving e-mails","Belgium","2019","Percentage of individuals","All Individuals","80",""
"Internet use: sending/receiving e-mails","Bulgaria","2006","Percentage of individuals","All Individuals","19",""
"Internet use: sending/receiving e-mails","Bulgaria","2010","Percentage of individuals","All Individuals","35",""
"Internet use: sending/receiving e-mails","Bulgaria","2015","Percentage of individuals","All Individuals","44",""
"Internet use: sending/receiving e-mails","Bulgaria","2019","Percentage of individuals","All Individuals","40",""
"Internet use: sending/receiving e-mails","Czechia","2006","Percentage of individuals","All Individuals","37",""
"Internet use: sending/receiving e-mails","Czechia","2010","Percentage of individuals","All Individuals","59",""
"Internet use: sending/receiving e-mails","Czechia","2015","Percentage of individuals","All Individuals","76",""
"Internet use: sending/receiving e-mails","Czechia","2019","Percentage of individuals","All Individuals","82",""
"Internet use: sending/receiving e-mails","Denmark","2006","Percentage of individuals","All Individuals","74",""
"Internet use: sending/receiving e-mails","Denmark","2010","Percentage of individuals","All Individuals","83",""
"Internet use: sending/receiving e-mails","Denmark","2015","Percentage of individuals","All Individuals","79",""
"Internet use: sending/receiving e-mails","Denmark","2019","Percentage of individuals","All Individuals","94",""
"Internet use: sending/receiving e-mails","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals","60",""
"Internet use: sending/receiving e-mails","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals","73",""
"Internet use: sending/receiving e-mails","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","81",""
"Internet use: sending/receiving e-mails","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","86",""
"Internet use: sending/receiving e-mails","Estonia","2006","Percentage of individuals","All Individuals","49",""
"Internet use: sending/receiving e-mails","Estonia","2010","Percentage of individuals","All Individuals","63",""
"Internet use: sending/receiving e-mails","Estonia","2015","Percentage of individuals","All Individuals","79",""
"Internet use: sending/receiving e-mails","Estonia","2019","Percentage of individuals","All Individuals","82",""
"Internet use: sending/receiving e-mails","Ireland","2006","Percentage of individuals","All Individuals","45",""
"Internet use: sending/receiving e-mails","Ireland","2010","Percentage of individuals","All Individuals","58",""
"Internet use: sending/receiving e-mails","Ireland","2015","Percentage of individuals","All Individuals","67",""
"Internet use: sending/receiving e-mails","Ireland","2019","Percentage of individuals","All Individuals","77",""
"Internet use: sending/receiving e-mails","Greece","2006","Percentage of individuals","All Individuals","17",""
"Internet use: sending/receiving e-mails","Greece","2010","Percentage of individuals","All Individuals","32",""
"Internet use: sending/receiving e-mails","Greece","2015","Percentage of individuals","All Individuals","52",""
"Internet use: sending/receiving e-mails","Greece","2019","Percentage of individuals","All Individuals","59",""
"Internet use: sending/receiving e-mails","Spain","2006","Percentage of individuals","All Individuals","36",""
"Internet use: sending/receiving e-mails","Spain","2010","Percentage of individuals","All Individuals","54",""
"Internet use: sending/receiving e-mails","Spain","2015","Percentage of individuals","All Individuals","64",""
"Internet use: sending/receiving e-mails","Spain","2019","Percentage of individuals","All Individuals","72",""
"Internet use: sending/receiving e-mails","France","2006","Percentage of individuals","All Individuals","34",""
"Internet use: sending/receiving e-mails","France","2010","Percentage of individuals","All Individuals","69",""
"Internet use: sending/receiving e-mails","France","2015","Percentage of individuals","All Individuals","74",""
"Internet use: sending/receiving e-mails","France","2019","Percentage of individuals","All Individuals","79",""
"Internet use: sending/receiving e-mails","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: sending/receiving e-mails","Croatia","2010","Percentage of individuals","All Individuals","40",""
"Internet use: sending/receiving e-mails","Croatia","2015","Percentage of individuals","All Individuals","53",""
"Internet use: sending/receiving e-mails","Croatia","2019","Percentage of individuals","All Individuals","59",""
"Internet use: sending/receiving e-mails","Italy","2006","Percentage of individuals","All Individuals","29",""
"Internet use: sending/receiving e-mails","Italy","2010","Percentage of individuals","All Individuals","43",""
"Internet use: sending/receiving e-mails","Italy","2015","Percentage of individuals","All Individuals","53",""
"Internet use: sending/receiving e-mails","Italy","2019","Percentage of individuals","All Individuals","59",""
"Internet use: sending/receiving e-mails","Cyprus","2006","Percentage of individuals","All Individuals","25",""
"Internet use: sending/receiving e-mails","Cyprus","2010","Percentage of individuals","All Individuals","41",""
"Internet use: sending/receiving e-mails","Cyprus","2015","Percentage of individuals","All Individuals","53",""
"Internet use: sending/receiving e-mails","Cyprus","2019","Percentage of individuals","All Individuals","56",""
"Internet use: sending/receiving e-mails","Latvia","2006","Percentage of individuals","All Individuals","41",""
"Internet use: sending/receiving e-mails","Latvia","2010","Percentage of individuals","All Individuals","55",""
"Internet use: sending/receiving e-mails","Latvia","2015","Percentage of individuals","All Individuals","69",""
"Internet use: sending/receiving e-mails","Latvia","2019","Percentage of individuals","All Individuals","72",""
"Internet use: sending/receiving e-mails","Lithuania","2006","Percentage of individuals","All Individuals","32",""
"Internet use: sending/receiving e-mails","Lithuania","2010","Percentage of individuals","All Individuals","49",""
"Internet use: sending/receiving e-mails","Lithuania","2015","Percentage of individuals","All Individuals","57",""
"Internet use: sending/receiving e-mails","Lithuania","2019","Percentage of individuals","All Individuals","62",""
"Internet use: sending/receiving e-mails","Luxembourg","2006","Percentage of individuals","All Individuals","65",""
"Internet use: sending/receiving e-mails","Luxembourg","2010","Percentage of individuals","All Individuals","83",""
"Internet use: sending/receiving e-mails","Luxembourg","2015","Percentage of individuals","All Individuals","91",""
"Internet use: sending/receiving e-mails","Luxembourg","2019","Percentage of individuals","All Individuals","83",""
"Internet use: sending/receiving e-mails","Hungary","2006","Percentage of individuals","All Individuals","37",""
"Internet use: sending/receiving e-mails","Hungary","2010","Percentage of individuals","All Individuals","57",""
"Internet use: sending/receiving e-mails","Hungary","2015","Percentage of individuals","All Individuals","68",""
"Internet use: sending/receiving e-mails","Hungary","2019","Percentage of individuals","All Individuals","72",""
"Internet use: sending/receiving e-mails","Malta","2006","Percentage of individuals","All Individuals","31",""
"Internet use: sending/receiving e-mails","Malta","2010","Percentage of individuals","All Individuals","54",""
"Internet use: sending/receiving e-mails","Malta","2015","Percentage of individuals","All Individuals","65",""
"Internet use: sending/receiving e-mails","Malta","2019","Percentage of individuals","All Individuals","69",""
"Internet use: sending/receiving e-mails","Netherlands","2006","Percentage of individuals","All Individuals","76",""
"Internet use: sending/receiving e-mails","Netherlands","2010","Percentage of individuals","All Individuals","87",""
"Internet use: sending/receiving e-mails","Netherlands","2015","Percentage of individuals","All Individuals","90",""
"Internet use: sending/receiving e-mails","Netherlands","2019","Percentage of individuals","All Individuals","93",""
"Internet use: sending/receiving e-mails","Austria","2006","Percentage of individuals","All Individuals","53",""
"Internet use: sending/receiving e-mails","Austria","2010","Percentage of individuals","All Individuals","66",""
"Internet use: sending/receiving e-mails","Austria","2015","Percentage of individuals","All Individuals","75",""
"Internet use: sending/receiving e-mails","Austria","2019","Percentage of individuals","All Individuals","79",""
"Internet use: sending/receiving e-mails","Poland","2006","Percentage of individuals","All Individuals","27",""
"Internet use: sending/receiving e-mails","Poland","2010","Percentage of individuals","All Individuals","48",""
"Internet use: sending/receiving e-mails","Poland","2015","Percentage of individuals","All Individuals","54",""
"Internet use: sending/receiving e-mails","Poland","2019","Percentage of individuals","All Individuals","65",""
"Internet use: sending/receiving e-mails","Portugal","2006","Percentage of individuals","All Individuals","29",""
"Internet use: sending/receiving e-mails","Portugal","2010","Percentage of individuals","All Individuals","45",""
"Internet use: sending/receiving e-mails","Portugal","2015","Percentage of individuals","All Individuals","56",""
"Internet use: sending/receiving e-mails","Portugal","2019","Percentage of individuals","All Individuals","64",""
"Internet use: sending/receiving e-mails","Romania","2006","Percentage of individuals","All Individuals","16",""
"Internet use: sending/receiving e-mails","Romania","2010","Percentage of individuals","All Individuals","31",""
"Internet use: sending/receiving e-mails","Romania","2015","Percentage of individuals","All Individuals","43",""
"Internet use: sending/receiving e-mails","Romania","2019","Percentage of individuals","All Individuals","43",""
"Internet use: sending/receiving e-mails","Slovenia","2006","Percentage of individuals","All Individuals","42",""
"Internet use: sending/receiving e-mails","Slovenia","2010","Percentage of individuals","All Individuals","58",""
"Internet use: sending/receiving e-mails","Slovenia","2015","Percentage of individuals","All Individuals","63",""
"Internet use: sending/receiving e-mails","Slovenia","2019","Percentage of individuals","All Individuals","72",""
"Internet use: sending/receiving e-mails","Slovakia","2006","Percentage of individuals","All Individuals","42",""
"Internet use: sending/receiving e-mails","Slovakia","2010","Percentage of individuals","All Individuals","70",""
"Internet use: sending/receiving e-mails","Slovakia","2015","Percentage of individuals","All Individuals","67",""
"Internet use: sending/receiving e-mails","Slovakia","2019","Percentage of individuals","All Individuals","71",""
"Internet use: sending/receiving e-mails","Finland","2006","Percentage of individuals","All Individuals","67",""
"Internet use: sending/receiving e-mails","Finland","2010","Percentage of individuals","All Individuals","77",""
"Internet use: sending/receiving e-mails","Finland","2015","Percentage of individuals","All Individuals","86",""
"Internet use: sending/receiving e-mails","Finland","2019","Percentage of individuals","All Individuals","90",""
"Internet use: sending/receiving e-mails","Sweden","2006","Percentage of individuals","All Individuals","74",""
"Internet use: sending/receiving e-mails","Sweden","2010","Percentage of individuals","All Individuals","84",""
"Internet use: sending/receiving e-mails","Sweden","2015","Percentage of individuals","All Individuals","83",""
"Internet use: sending/receiving e-mails","Sweden","2019","Percentage of individuals","All Individuals","91",""
"Internet use: sending/receiving e-mails","United Kingdom","2006","Percentage of individuals","All Individuals","53",""
"Internet use: sending/receiving e-mails","United Kingdom","2010","Percentage of individuals","All Individuals","74",""
"Internet use: sending/receiving e-mails","United Kingdom","2015","Percentage of individuals","All Individuals","81",""
"Internet use: sending/receiving e-mails","United Kingdom","2019","Percentage of individuals","All Individuals","89",""
"Internet use: sending/receiving e-mails","Iceland","2006","Percentage of individuals","All Individuals","77",""
"Internet use: sending/receiving e-mails","Iceland","2010","Percentage of individuals","All Individuals","87",""
"Internet use: sending/receiving e-mails","Iceland","2015","Percentage of individuals","All Individuals",":",""
"Internet use: sending/receiving e-mails","Iceland","2019","Percentage of individuals","All Individuals","95",""
"Internet use: sending/receiving e-mails","Norway","2006","Percentage of individuals","All Individuals","72",""
"Internet use: sending/receiving e-mails","Norway","2010","Percentage of individuals","All Individuals","85",""
"Internet use: sending/receiving e-mails","Norway","2015","Percentage of individuals","All Individuals","91",""
"Internet use: sending/receiving e-mails","Norway","2019","Percentage of individuals","All Individuals","94",""
"Internet use: sending/receiving e-mails","North Macedonia","2006","Percentage of individuals","All Individuals","18",""
"Internet use: sending/receiving e-mails","North Macedonia","2010","Percentage of individuals","All Individuals","41",""
"Internet use: sending/receiving e-mails","North Macedonia","2015","Percentage of individuals","All Individuals","44",""
"Internet use: sending/receiving e-mails","North Macedonia","2019","Percentage of individuals","All Individuals","47",""
"Internet use: sending/receiving e-mails","Serbia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: sending/receiving e-mails","Serbia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: sending/receiving e-mails","Serbia","2015","Percentage of individuals","All Individuals","43",""
"Internet use: sending/receiving e-mails","Serbia","2019","Percentage of individuals","All Individuals","44",""
"Internet use: sending/receiving e-mails","Turkey","2006","Percentage of individuals","All Individuals",":",""
"Internet use: sending/receiving e-mails","Turkey","2010","Percentage of individuals","All Individuals","27",""
"Internet use: sending/receiving e-mails","Turkey","2015","Percentage of individuals","All Individuals","25",""
"Internet use: sending/receiving e-mails","Turkey","2019","Percentage of individuals","All Individuals","34",""
"Internet use: telephoning or video calls","Belgium","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Belgium","2010","Percentage of individuals","All Individuals","20",""
"Internet use: telephoning or video calls","Belgium","2015","Percentage of individuals","All Individuals","36",""
"Internet use: telephoning or video calls","Belgium","2019","Percentage of individuals","All Individuals","58",""
"Internet use: telephoning or video calls","Bulgaria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Bulgaria","2010","Percentage of individuals","All Individuals","27",""
"Internet use: telephoning or video calls","Bulgaria","2015","Percentage of individuals","All Individuals","47",""
"Internet use: telephoning or video calls","Bulgaria","2019","Percentage of individuals","All Individuals","58",""
"Internet use: telephoning or video calls","Czechia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Czechia","2010","Percentage of individuals","All Individuals","27",""
"Internet use: telephoning or video calls","Czechia","2015","Percentage of individuals","All Individuals","33",""
"Internet use: telephoning or video calls","Czechia","2019","Percentage of individuals","All Individuals","45",""
"Internet use: telephoning or video calls","Denmark","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Denmark","2010","Percentage of individuals","All Individuals","32",""
"Internet use: telephoning or video calls","Denmark","2015","Percentage of individuals","All Individuals","44",""
"Internet use: telephoning or video calls","Denmark","2019","Percentage of individuals","All Individuals","56","b"
"Internet use: telephoning or video calls","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals","17",""
"Internet use: telephoning or video calls","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","27",""
"Internet use: telephoning or video calls","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","55",""
"Internet use: telephoning or video calls","Estonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Estonia","2010","Percentage of individuals","All Individuals","34",""
"Internet use: telephoning or video calls","Estonia","2015","Percentage of individuals","All Individuals","41",""
"Internet use: telephoning or video calls","Estonia","2019","Percentage of individuals","All Individuals","53",""
"Internet use: telephoning or video calls","Ireland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Ireland","2010","Percentage of individuals","All Individuals","17",""
"Internet use: telephoning or video calls","Ireland","2015","Percentage of individuals","All Individuals","29",""
"Internet use: telephoning or video calls","Ireland","2019","Percentage of individuals","All Individuals","46",""
"Internet use: telephoning or video calls","Greece","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Greece","2010","Percentage of individuals","All Individuals","10",""
"Internet use: telephoning or video calls","Greece","2015","Percentage of individuals","All Individuals","29",""
"Internet use: telephoning or video calls","Greece","2019","Percentage of individuals","All Individuals","51",""
"Internet use: telephoning or video calls","Spain","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Spain","2010","Percentage of individuals","All Individuals","14",""
"Internet use: telephoning or video calls","Spain","2015","Percentage of individuals","All Individuals","23",""
"Internet use: telephoning or video calls","Spain","2019","Percentage of individuals","All Individuals","55",""
"Internet use: telephoning or video calls","France","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","France","2010","Percentage of individuals","All Individuals","21",""
"Internet use: telephoning or video calls","France","2015","Percentage of individuals","All Individuals","26",""
"Internet use: telephoning or video calls","France","2019","Percentage of individuals","All Individuals","48",""
"Internet use: telephoning or video calls","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Croatia","2010","Percentage of individuals","All Individuals","14",""
"Internet use: telephoning or video calls","Croatia","2015","Percentage of individuals","All Individuals","30",""
"Internet use: telephoning or video calls","Croatia","2019","Percentage of individuals","All Individuals","48",""
"Internet use: telephoning or video calls","Italy","2006","Percentage of individuals","All Individuals",":",""
"Internet use: telephoning or video calls","Italy","2010","Percentage of individuals","All Individuals","14",""
"Internet use: telephoning or video calls","Italy","2015","Percentage of individuals","All Individuals","22",""
